# This File contains all Botnames 
# Which is used if you don't specify a name using "addbot"
# There must be at least 9 names in here, your allowed a maximum of 100 names
# and you're allowed a maximum of 21 characters for the name!
# Why? The "[POD]" will be placed before the Name and the Skill will be appended after the Name.
#
# Line below contains 21 chars as a marker for you.
#
#23456789012345678901
#
Danny Devito
Clint Eastwood
Wesley Snipes
Joe Pesci
George Hamilton
Jackie Chan
Jet Li
Jack Palance
Sean Penn
#
# 9 Names
#
John Malkovich
Bruce Lee
Nicole Kidman
Chris Tucker 
Laurence Fishburne
Samuel L. Jackson
Keanu Reeves
Will Smith
Tommy Lee Jones
Woody Harrelson
Sean Connery
Harrison Ford
Jeff Bridges
Stacy Keech
George Clooney
Sylvester Stallone
Jean-Claude Van Damme
Arnold Schwarzenegger
Kim Basinger
Tom Cruise
Robert Redford
Andrew Dice Clay
Jennifer Aniston
Matt Damon
#
# 32 Names
# 
Bridget Fonda
Anthony Hopkins
Charlie Sheen
Juliet Lewis
Robert Downey Jr.
Jim Carey
Patrick Swayze
Chris Rock
Rodney Dangerfield
Kate Winslet
Heather Locklear
Leonardo DiCaprio
Mel Gibson
Bruce Willis
Quentin Tarantino
Harvey Keitel
Sigourney Weaver
Heather Graham
Burt Reynolds
Jennifer Love Hewitt
Drew Barrymore
Marylin Monroe
Adam Sandler
Cheech Marin
Mickey Rourke
Sharon Stone
Al Pacino
Marlon Brando
Robert DeNiro
Jack Nicholson
Thomas Chong
